show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0027,Movie,Da 5 Bloods,Spike Lee,Delroy Lindo Jonathan Majors Clarke Peters Johnny Tri Nguyen,United States,June 12 2020,2020,R,154 min,Dramas International Movies,Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide
s0028,TV Show,The Queens Gambit,Scott Frank,Anya Taylor-Joy Chloe Pirrie Bill Camp Marcin Dorocinski,United States,October 23 2020,2020,TV-MA,1 Season,TV Dramas,In a 1950s orphanage a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction
s0029,Movie,Mank,David Fincher,Gary Oldman Amanda Seyfried Lily Collins Arliss Howard,United States,December 4 2020,2020,R,131 min,Dramas International Movies,1930s Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J Mankiewicz as he races to finish the screenplay of Citizen Kane
s0030,TV Show,Tiger King,Eric Goode,Joe Exotic Carole Baskin John Finlay Howard Baskin,United States,March 20 2020,2020,TV-MA,2 Seasons,Crime TV Shows Documentaries TV Mysteries,A zoo owner spirals out of control amid a cast of eccentric characters in this true murder-for-hire story from the underworld of big cat breeding
s0031,Movie,Ma Raineys Black Bottom,George C Wolfe,Viola Davis Chadwick Boseman Glynn Turman Colman Domingo,United States,December 18 2020,2020,R,94 min,Dramas International Movies,Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927
s0032,TV Show,Making a Murderer,Laura Ricciardi,Steven Avery Dolores Avery Allan Avery Bill Avery,United States,December 18 2015,2015,TV-MA,2 Seasons,Crime TV Shows Documentaries TV Mysteries,Filmed over 10 years this real-life thriller follows a DNA exoneree who while exposing police corruption becomes a suspect in a grisly new crime
s0033,Movie,Chefs Table,David Gelb,Massimo Bottura Francis Mallmann Niki Nakayama Dan Barber,United States,April 26 2015,2015,TV-MA,6 Seasons,Documentaries TV Shows,Chefs Table goes inside the lives and kitchens of six of the worlds most renowned international chefs
s0034,TV Show,Abstract,Scott Dadich,Paula Scher Christoph Niemann Tinker Hatfield Ralph Gilles,United States,February 10 2017,2017,TV-MA,2 Seasons,Documentaries TV Shows,Step inside the minds of the worlds greatest designers as the most innovative designers of our time discuss their creative processes
s0035,Movie,Our Planet,Alastair Fothergill,David Attenborough,United Kingdom,April 5 2019,2019,TV-PG,8 Episodes,Documentaries TV Shows,Experience our planets natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope
s0036,TV Show,Explained,Ezra Klein,Various,United States,May 23 2018,2018,TV-MA,3 Seasons,Documentaries TV Shows,This documentary series explores a wide range of topics from cryptocurrency to why diets fail with each episode taking a deep dive into a single subject
s0037,Movie,Red Notice,Rawson Marshall Thurber,Dwayne Johnson Ryan Reynolds Gal Gadot Ritu Arya,United States,November 12 2021,2021,PG-13,118 min,Action and Adventure Comedies International Movies,An FBI profiler pursuing the worlds most wanted art thief becomes his reluctant partner in crime to catch an elusive crook whos always one step ahead
s0038,TV Show,Enola Holmes,Harry Bradbeer,Millie Bobby Brown Henry Cavill Sam Claflin Helena Bonham Carter,United States,September 23 2020,2020,PG-13,2 Movies,Action and Adventure International Movies Thrillers,While searching for her missing mother intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord
s0039,Movie,To All the Boys Ive Loved Before,Susan Johnson,Lana Condor Noah Centineo Janel Parrish Anna Cathcart,United States,August 17 2018,2018,TV-14,99 min,Comedies International Movies Romantic Movies,Lara Jeans love life goes from imaginary to out of control when her secret letters to every boy shes ever fallen for are mysteriously mailed out
s0040,TV Show,The Kissing Booth,Vince Marcello,Joey King Joel Courtney Jacob Elordi Molly Ringwald,United States,May 11 2018,2018,TV-14,3 Movies,Comedies International Movies Romantic Movies,When Elles first kiss leads to a forbidden romance with the hottest boy in high school she risks her relationship with her best friend
s0041,Movie,Tall Girl,Nzingha Stewart,Ava Michelle Griffin Gluck Sabrina Carpenter Paris Berelc,United States,September 13 2019,2019,PG,102 min,Comedies International Movies Romantic Movies,Jodi the tallest girl in her high school has always felt uncomfortable in her own skin But after years of slouching Jodi finally decides to find her confidence and stand tall
s0042,TV Show,The Half of It,Alice Wu,Leah Lewis Daniel Diemer Alexxis Lemire Enrique Murciano,United States,May 1 2020,2020,PG-13,104 min,Comedies International Movies Romantic Movies,Shy straight-A student Ellie is hired by sweet but inarticulate jock Paul to write love letters to his crush Aster But their new and unlikely friendship gets tricky when Ellie discovers she has feelings for the same girl
s0043,Movie,Bright,David Ayer,Will Smith Joel Edgerton Noomi Rapace Lucy Fry,United States,December 22 2017,2017,TV-MA,117 min,Action and Adventure International Movies Thrillers,In an alternate present day humans orcs elves and fairies have been coexisting since the beginning of time Two police officers one human and one orc embark on a routine night patrol that will alter the future of their world as they know it
s0044,TV Show,The Old Guard,Gina Prince-Bythewood,Charlize Theron KiKi Layne Matthias Schoenaerts Marwan Kenzari,United States,July 10 2020,2020,R,125 min,Action and Adventure International Movies Thrillers,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered
s0045,Movie,Enola Holmes 2,Harry Bradbeer,Millie Bobby Brown Henry Cavill David Thewlis Louis Partridge,United States,November 4 2022,2022,PG-13,129 min,Action and Adventure International Movies Thrillers,Now a detective-for-hire like her infamous brother Enola Holmes takes on her first official case to find a missing girl as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends and Sherlock himself to unravel
s0046,TV Show,To All the Boys PS I Still Love You,Michael Fimognari,Lana Condor Noah Centineo Jordan Fisher Anna Cathcart,United States,February 12 2020,2020,TV-14,101 min,Comedies International Movies Romantic Movies,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture
s0047,Movie,To All the Boys Always and Forever,Michael Fimognari,Lana Condor Noah Centineo Janel Parrish Anna Cathcart,United States,February 12 2021,2021,TV-14,115 min,Comedies International Movies Romantic Movies,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans with and without Peter
s0048,TV Show,The Kissing Booth 2,Vince Marcello,Joey King Joel Courtney Jacob Elordi Maisie Richardson-Sellers,United States,July 24 2020,2020,TV-14,131 min,Comedies International Movies Romantic Movies,With college decisions looming Elle juggles her long-distance romance with Noah changing relationship with bestie Lee and feelings for a new classmate
s0049,Movie,The Kissing Booth 3,Vince Marcello,Joey King Joel Courtney Jacob Elordi Maisie Richardson-Sellers,United States,August 11 2021,2021,TV-14,113 min,Comedies International Movies Romantic Movies,Determined to make the most of her final summer with childhood best friend Lee before college Elle makes a bucket list of things they must do together
s0050,TV Show,Tall Girl 2,Nzingha Stewart,Ava Michelle Griffin Gluck Sabrina Carpenter Paris Berelc,United States,February 11 2022,2022,PG,97 min,Comedies International Movies Romantic Movies,Jodi Kreyman is back and ready to take on high school senior year with confidence but when a new girl arrives and shakes up the social order Jodi realizes that standing tall was just the first step
